Symbol,Date,Open,High,Low,Close,Volume,volumeMoV,close20EMA,closeMoV,vira21dayMAc,vira21dayMAp,emaslow,emafast,macd,signalMACD,histogramMACD,ensambleFzInput,rsi,fastK,fastD,slowD,curvaVerde,curvaRoja,sigCruzeC,sigCruzeV,volumeSD,priceSD,rangeVolume,rangePrice,averageVolume,averagePrice,volumeUCL,volumeLCL,priceUCL,priceLCL,flagVolume,flagPrft,fluidSingal,ensamble1dGenome,ensamble2dGenome,ensamble3dGenome,comboLRGR,upperBB,lowerBB,20dSMA Close,20dStdev Close,20dStedv Close K,macdRatio,macdAngle,signalMACDRatio,signalMACDAngle,histMACDRatio,histMACDAngle,viraCRatio,viraCAngle,viraPRatio,viraPAngle,viraDiffRatio,viraDiffAngle,ubolingerBandRatio,ubolingerBandAngle,lbolingerBandRatio,lbolingerBandAngle,bolingerDiffRatio,bolingerDiffAngle,unDia,tresDias,unDiaPerformance,tresDiasPerformance,20EMA&50SMA_slope,pct*low>20EMA,buyPrice=low*pctBuyPrice,FlagAseComproA,FlagAseComproDay,FlagAseVendioA,FlagAprftMax,FlagAprftMaxDay,FlagAmaxLoss,FlagAmaxLossDay,FlagAprft2pctDay,FlagAloss1pctDay,FlagAmensaje1,FlagAmensaje2,20EMA&50SMA_slope,pct*low>20EMA,buyPrice=low*pctBuyPrice,FlagBSeComproA,FlagBseComproDay,FlagBseVendioA,FlagBprftMax,FlagBprftMaxDay,FlagBmaxLoss,FlagBmaxLossDay,FlagBprft2pctDay,FlagBloss1pctDay,FlagBmensaje1,FlagBmensaje2
AGL.AX,3/21/2018,21.89999962,22.05999947,21.40999985,21.56999969,2540312,0,0,0,0,0,0,0,0,0,0,0,26.02040667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O3C1L0,0,0,0H5O3C1L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Short,0.988409828,0.98191936,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,3/22/2018,21.5,21.56999969,21.14999962,21.31999969,1794919,0,0,0,0,0,0,0,0,0,0,5,26.02040667,0,0,0,45,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O4C2L0,H5O3C1L0H5O4C2L0,0,5H5O4C2L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Keep,0.994840497,0.993433424,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,3/23/2018,21.04999924,21.33499908,20.90999985,21.20999908,1357271,0,0,0,0,0,0,0,0,0,0,10,26.02040667,0,0,0,40,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5C3O1L0,H5O4C2L0H5C3O1L0,H5O3C1L0H5O4C2L0H5C3O1L0,10H5C3O1L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Keep,0.99858563,1.018387615,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,3/26/2018,21.03000069,21.30999947,21.02000046,21.18000031,1212738,0,0,0,0,0,0,0,0,0,0,15,26.02040667,0,0,0,35,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5C2O0L0,H5C3O1L0H5C2O0L0,H5O4C2L0H5C3O1L0H5C2O0L0,15H5C2O0L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Keep,1,1.023607176,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,3/27/2018,21.17000008,21.20499992,20.95499992,21.18000031,1520074,0,0,0,0,0,0,0,0,0,0,20,26.02040667,0,0,0,30,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5C4O4L0,H5C2O0L0H5C4O4L0,H5C3O1L0H5C2O0L0H5C4O4L0,20H5C4O4L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Buy,1.019830032,1.024079331,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,3/28/2018,21.06999969,21.75,21.06999969,21.60000038,1945913,0,0,0,0,0,0,0,0,0,0,25,26.02040667,0,0,0,45,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5C3O0L0,H5C4O4L0H5C3O0L0,H5C2O0L0H5C4O4L0H5C3O0L0,25H5C3O0L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Keep,1.0037037,1.003240727,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,3/29/2018,21.62000084,21.80999947,21.46999931,21.68000031,2300164,0,0,0,0,0,0,0,0,0,0,30,26.02040667,0,0,0,45,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5C3O2L0,H5C3O0L0H5C3O2L0,H5C4O4L0H5C3O0L0H5C3O2L0,30H5C3O2L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Keep,1.000461265,0.982011099,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/3/2018,21.68000031,21.77000046,21.60499954,21.69000053,2471449,0,0,0,0,0,0,0,0,0,0,35,26.02040667,0,0,0,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5C2O2L0,H5C3O2L0H5C2O2L0,H5C3O0L0H5C3O2L0H5C2O2L0,35H5C2O2L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Short,0.999077895,0.97464264,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/4/2018,21.71999931,21.79000092,21.62999916,21.67000008,2280929,0,0,0,0,0,0,0,0,0,0,40,26.02040667,0,0,0,35,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O2C1L0,H5C2O2L0H5O2C1L0,H5C3O2L0H5C2O2L0H5O2C1L0,40H5O2C1L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Short,0.982464275,0.975080715,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/5/2018,21.68000031,21.70999908,21.26000023,21.29000092,1994466,0,0,0,0,0,0,0,0,0,0,45,26.02040667,0,0,0,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O4C0L0,H5O2C1L0H5O4C0L0,H5C2O2L0H5O2C1L0H5O4C0L0,45H5O4C0L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Short,0.992954367,0.991075598,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/6/2018,21.22999954,21.29000092,21.07999992,21.13999939,1487969,0,0,0,0,0,0,0,0,0,0,50,26.02040667,0,0,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O3C1L0,H5O4C0L0H5O3C1L0,H5O2C1L0H5O4C0L0H5O3C1L0,50H5O3C1L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Short,0.999526952,0.991485321,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/9/2018,21.25,21.35000038,21.12999916,21.12999916,1374513,0,0,0,0,0,0,0,0,0,0,55,26.02040667,0,0,0,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O2C0L0,H5O3C1L0H5O2C0L0,H5O4C0L0H5O3C1L0H5O2C0L0,55H5O2C0L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Short,0.998580275,0.990061567,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/10/2018,21.14999962,21.18000031,21.04999924,21.10000038,1466846,0,0,0,0,0,0,21.34397441,0,0,0,60,26.02040667,0,0,0,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O3C1L0,H5O2C0L0H5O3C1L0,H5O3C1L0H5O2C0L0H5O3C1L0,60H5O3C1L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Short,0.993364868,0.977725061,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/11/2018,21.06999969,21.06999969,20.69000053,20.95999908,2514251,0,0,0,0,0,0,21.28490128,0,0,0,65,26.02040667,24.10703642,8.035678807,2.678559602,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O5C3L0,H5O3C1L0H5O5C3L0,H5O2C0L0H5O3C1L0H5O5C3L0,65H5O5C3L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Keep,0.99809165,1.00095422,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/12/2018,21.06999969,21.27000046,20.85000038,20.92000008,1605354,0,0,0,0,0,0,21.22876263,0,0,0,70,25.46084189,20.535693,14.88090981,7.638862871,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O2C0L0,H5O5C3L0H5O2C0L0,H5O3C1L0H5O5C3L0H5O2C0L0,70H5O2C0L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Keep,0.986137624,0.99808791,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/13/2018,20.75,20.97999954,20.55999947,20.62999916,2087915,0,0,0,0,0,0,21.13664518,0,0,0,75,21.80038506,5.599975586,16.74756833,13.22138565,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O2C0L0,H5O2C0L0H5O2C0L0,H5O5C3L0H5O2C0L0H5O2C0L0,75H5O2C0L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Keep,1.016965603,1.002908453,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/16/2018,20.62999916,21.11499977,20.62999916,20.97999954,1556265,0,0,0,0,0,0,21.11254585,0,0,0,80,34.11218302,33.6000061,19.91189156,17.18012323,95,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5C3O0L0,H5O2C0L0H5C3O0L0,H5O2C0L0H5O2C0L0H5C3O0L0,80H5C3O0L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Short,0.995233537,0.985700703,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/17/2018,21,21.32999992,20.87000084,20.87999916,1548301,0,0,0,0,0,0,21.07676943,0,0,0,85,32.53602699,25.59997559,21.59998576,19.41981522,90,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O1C0L0,H5C3O0L0H5O1C0L0,H5O2C0L0H5C3O0L0H5O1C0L0,85H5O1C0L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Short,0.990900449,0.970785502,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,4/18/2018,20.89999962,20.89999962,20.63999939,20.69000053,1326608,0,0,0,0,0,0,21.01726653,0,0,0,90,29.72570935,10.40008545,23.20002238,21.57063323,85,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5O5C0L0,H5O1C0L0H5O5C0L0,H5C3O0L0H5O1C0L0H5O5C0L0,90H5O5C0L0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keep,Short,0.999516664,0.976800317,no Valido,no Valido,,,,,,,,,,,,,,,,,,,,,,,,,,
